time,direction,order_id,price,symbol
2025-12-09 20:05:03.569897,BUY,0,0.0,EURUSD
2025-12-09 20:05:04.579307,BUY,0,0.0,EURUSD
2025-12-09 20:05:05.589555,BUY,0,0.0,EURUSD
2025-12-09 20:05:06.600241,BUY,0,0.0,EURUSD
2025-12-09 20:05:07.610602,BUY,0,0.0,EURUSD
2025-12-09 20:05:08.619420,BUY,0,0.0,EURUSD
2025-12-09 20:05:09.627021,BUY,0,0.0,EURUSD
2025-12-09 20:05:10.632505,BUY,0,0.0,EURUSD
2025-12-09 20:05:11.644767,BUY,0,0.0,EURUSD
2025-12-09 20:05:12.650602,BUY,0,0.0,EURUSD
2025-12-09 20:05:13.664927,BUY,0,0.0,EURUSD
2025-12-09 20:05:14.677348,BUY,0,0.0,EURUSD
2025-12-09 20:05:15.695027,BUY,0,0.0,EURUSD
2025-12-09 20:05:16.732855,BUY,0,0.0,EURUSD
2025-12-09 20:05:17.747937,BUY,0,0.0,EURUSD
2025-12-09 20:05:18.763105,BUY,0,0.0,EURUSD
2025-12-09 20:05:19.777716,BUY,0,0.0,EURUSD
2025-12-09 20:05:20.793733,BUY,0,0.0,EURUSD
2025-12-09 20:05:21.810046,BUY,0,0.0,EURUSD
2025-12-09 20:05:22.824415,BUY,0,0.0,EURUSD
2025-12-09 20:05:23.836077,BUY,0,0.0,EURUSD
2025-12-09 20:05:24.847380,BUY,0,0.0,EURUSD
2025-12-09 20:05:25.858189,BUY,0,0.0,EURUSD
2025-12-09 20:05:26.868581,BUY,0,0.0,EURUSD
2025-12-09 20:05:27.879665,BUY,0,0.0,EURUSD
2025-12-09 20:05:28.894351,BUY,0,0.0,EURUSD
2025-12-10 07:23:20.075416,CALL,1.16273,1.16249,-10,2025-12-10 07:23:20.063416
2025-12-10 07:23:21.356148,CALL,1.16273,1.16249,-10,2025-12-10 07:23:21.339305
2025-12-10 07:23:22.671444,CALL,1.16273,1.16249,-10,2025-12-10 07:23:22.649859
2025-12-10 07:23:24.035708,CALL,1.16273,1.16249,-10,2025-12-10 07:23:23.962562
2025-12-10 07:23:25.288577,CALL,1.16273,1.16249,-10,2025-12-10 07:23:25.258168
2025-12-10 07:23:26.827069,CALL,1.16273,1.16249,-10,2025-12-10 07:23:26.636470
2025-12-10 07:23:28.048089,CALL,1.16273,1.16249,-10,2025-12-10 07:23:28.036198
2025-12-10 07:23:29.349711,CALL,1.16273,1.16249,-10,2025-12-10 07:23:29.336610
2025-12-10 07:23:30.856050,PUT,1.1625,1.16268,-10,2025-12-10 07:23:30.831041
2025-12-10 07:23:32.356678,PUT,1.1625,1.16268,-10,2025-12-10 07:23:32.332867
2025-12-10 07:23:33.848413,PUT,1.1625,1.16268,-10,2025-12-10 07:23:33.819131
2025-12-10 07:23:35.232781,PUT,1.1625,1.16268,-10,2025-12-10 07:23:35.204464
2025-12-10 07:23:36.618476,PUT,1.16249,1.16268,-10,2025-12-10 07:23:36.605977
2025-12-10 07:23:38.037529,PUT,1.16249,1.16268,-10,2025-12-10 07:23:38.007323
2025-12-10 07:23:39.423870,PUT,1.16249,1.16268,-10,2025-12-10 07:23:39.403485
2025-12-10 07:23:40.815910,PUT,1.16249,1.16265,-10,2025-12-10 07:23:40.806778
2025-12-10 07:23:42.197837,PUT,1.16249,1.16266,-10,2025-12-10 07:23:42.184625
2025-12-10 07:23:43.619447,PUT,1.16249,1.16269,-10,2025-12-10 07:23:43.606203
2025-12-10 07:23:45.087990,PUT,1.16249,1.16269,-10,2025-12-10 07:23:45.068993
2025-12-10 07:23:46.579432,PUT,1.16249,1.16269,-10,2025-12-10 07:23:46.557099
2025-12-10 07:23:48.050197,PUT,1.16249,1.16269,-10,2025-12-10 07:23:48.028268
2025-12-10 07:23:49.501851,PUT,1.16249,1.16269,-10,2025-12-10 07:23:49.476796
2025-12-10 07:23:50.953472,PUT,1.16249,1.16269,-10,2025-12-10 07:23:50.934279
2025-12-10 07:23:52.557704,PUT,1.16249,1.16269,-10,2025-12-10 07:23:52.427637
2025-12-10 07:23:53.920045,PUT,1.16249,1.16269,-10,2025-12-10 07:23:53.896036
2025-12-10 07:23:55.501713,PUT,1.16249,1.16269,-10,2025-12-10 07:23:55.441095
2025-12-10 07:23:56.970587,PUT,1.16249,1.16269,-10,2025-12-10 07:23:56.951803
2025-12-10 07:23:58.440125,PUT,1.16249,1.16269,-10,2025-12-10 07:23:58.416144
2025-12-10 07:23:59.930062,PUT,1.16249,1.16269,-10,2025-12-10 07:23:59.884133
2025-12-10 07:24:01.532771,PUT,1.16249,1.16269,-10,2025-12-10 07:24:01.513492
2025-12-10 07:24:03.123473,PUT,1.16249,1.16269,-10,2025-12-10 07:24:03.064620
2025-12-10 07:24:04.627426,PUT,1.16249,1.16269,-10,2025-12-10 07:24:04.609001
2025-12-10 07:24:06.149219,PUT,1.16249,1.16269,-10,2025-12-10 07:24:06.131098
2025-12-10 07:24:07.723855,PUT,1.16249,1.16269,-10,2025-12-10 07:24:07.703161
2025-12-10 07:24:09.267822,PUT,1.16249,1.16269,-10,2025-12-10 07:24:09.244959
2025-12-10 07:24:10.810428,PUT,1.16249,1.16269,-10,2025-12-10 07:24:10.787259
2025-12-10 07:24:12.350057,PUT,1.16249,1.16269,-10,2025-12-10 07:24:12.319857
2025-12-10 07:24:13.982054,PUT,1.16249,1.16269,-10,2025-12-10 07:24:13.972897
2025-12-10 07:24:15.540483,PUT,1.16249,1.16269,-10,2025-12-10 07:24:15.530678
2025-12-10 07:24:17.225742,PUT,1.16249,1.16269,-10,2025-12-10 07:24:17.205192
2025-12-10 07:24:18.853656,CALL,1.16268,1.16249,-10,2025-12-10 07:24:18.832885
2025-12-10 07:24:20.513985,CALL,1.16268,1.16249,-10,2025-12-10 07:24:20.492128
2025-12-10 07:24:22.073538,CALL,1.16268,1.16249,-10,2025-12-10 07:24:22.043874
2025-12-10 07:24:22.826980,CALL,1.16268,1.16249,-10,2025-12-10 07:24:22.753786
2025-12-10 07:24:23.421329,CALL,1.16268,1.16249,-10,2025-12-10 07:24:23.317764
2025-12-10 07:24:23.898520,CALL,1.16268,1.16249,-10,2025-12-10 07:24:23.875948
2025-12-10 07:24:24.415184,CALL,1.16268,1.16249,-10,2025-12-10 07:24:24.407240
2025-12-10 07:24:24.971503,CALL,1.16268,1.16249,-10,2025-12-10 07:24:24.952221
2025-12-10 07:24:25.523508,CALL,1.16268,1.16249,-10,2025-12-10 07:24:25.499931
2025-12-10 07:24:26.195031,CALL,1.16268,1.16249,-10,2025-12-10 07:24:26.060599
2025-12-10 07:24:26.883610,CALL,1.16268,1.16249,-10,2025-12-10 07:24:26.635893
2025-12-10 07:24:27.216376,CALL,1.16268,1.16249,-10,2025-12-10 07:24:27.201748
2025-12-10 07:24:27.775754,CALL,1.16268,1.1625,-10,2025-12-10 07:24:27.760396
2025-12-10 07:24:28.368857,CALL,1.16268,1.1625,-10,2025-12-10 07:24:28.356742
2025-12-10 07:24:28.915517,CALL,1.16269,1.16254,-10,2025-12-10 07:24:28.907862
2025-12-10 07:24:29.514671,CALL,1.16269,1.16254,-10,2025-12-10 07:24:29.459658
2025-12-10 07:24:30.175017,CALL,1.16269,1.16254,-10,2025-12-10 07:24:30.110615
2025-12-10 07:24:31.568154,CALL,1.16268,1.16254,-10,2025-12-10 07:24:31.556319
2025-12-10 07:24:33.133224,CALL,1.16268,1.16254,-10,2025-12-10 07:24:33.120996
2025-12-10 07:24:34.715079,CALL,1.16268,1.16254,-10,2025-12-10 07:24:34.694184
2025-12-10 07:24:36.352531,CALL,1.16268,1.16254,-10,2025-12-10 07:24:36.320924
2025-12-10 07:24:37.929822,CALL,1.16268,1.16254,-10,2025-12-10 07:24:37.919551
2025-12-10 07:24:39.664971,CALL,1.16268,1.16254,-10,2025-12-10 07:24:39.647594
2025-12-10 07:24:41.580318,PUT,1.16246,1.1627399999999999,-10,2025-12-10 07:24:41.556275
